amount,close,date,high,low,open,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
208994905.01,3.28,2024-01-08,3.35,3.23,3.28,637571,3.65,2.43,-0.3,-0.01,78
145162136.64,3.23,2024-01-09,3.3,3.19,3.27,451220,3.35,1.72,-1.52,-0.05,78
89269441.43,3.22,2024-01-10,3.24,3.17,3.21,277946,2.17,1.06,-0.31,-0.01,78
130697945.55,3.28,2024-01-11,3.28,3.18,3.2,402331,3.11,1.53,1.86,0.06,78
169286898.68,3.22,2024-01-12,3.4,3.21,3.3,512260,5.79,1.95,-1.83,-0.06,78
113795502.52,3.18,2024-01-15,3.29,3.17,3.25,353519,3.73,1.35,-1.24,-0.04,78
137254328.39,3.1,2024-01-16,3.17,3.05,3.17,442622,3.77,1.69,-2.52,-0.08,78
62461195.58,3.03,2024-01-17,3.11,3.02,3.09,203922,2.9,0.78,-2.26,-0.07,78
88499830.41,3.0,2024-01-18,3.04,2.91,3.03,298769,4.29,1.14,-0.99,-0.03,78
40944308.0,2.98,2024-01-19,3.02,2.96,2.99,136981,2.0,0.52,-0.67,-0.02,78
76293589.25,2.82,2024-01-22,3.0,2.77,2.99,264755,7.72,1.01,-5.37,-0.16,78
45487349.85,2.85,2024-01-23,2.86,2.76,2.82,161724,3.55,0.62,1.06,0.03,78
48138028.33,2.9,2024-01-24,2.9,2.79,2.86,169049,3.86,0.64,1.75,0.05,78
56436005.99,2.96,2024-01-25,2.98,2.87,2.87,192224,3.79,0.73,2.07,0.06,78
53288581.65,2.95,2024-01-26,3.01,2.94,2.96,179258,2.36,0.68,-0.34,-0.01,78
46022531.0,2.89,2024-01-29,2.98,2.88,2.96,157993,3.39,0.6,-2.03,-0.06,78
33719046.5,2.81,2024-01-30,2.89,2.81,2.88,118170,2.77,0.45,-2.77,-0.08,78
121593160.5,2.53,2024-01-31,2.73,2.53,2.73,471108,7.12,1.79,-9.96,-0.28,78
46884605.43,2.47,2024-02-01,2.54,2.4,2.48,189599,5.53,0.72,-2.37,-0.06,78
63950287.5,2.35,2024-02-02,2.52,2.24,2.47,269695,11.34,1.03,-4.86,-0.12,78
69412652.14,2.14,2024-02-05,2.34,2.12,2.34,316442,9.36,1.21,-8.94,-0.21,78
53347885.53,2.27,2024-02-06,2.32,2.01,2.06,245819,14.49,0.94,6.07,0.13,78
58340272.96,2.24,2024-02-07,2.36,2.21,2.26,254832,6.61,0.97,-1.32,-0.03,78
71679909.97,2.37,2024-02-08,2.39,2.18,2.24,312983,9.38,1.19,5.8,0.13,78
58187970.63,2.44,2024-02-19,2.47,2.37,2.4,240931,4.22,0.92,2.95,0.07,78
41048570.48,2.47,2024-02-20,2.49,2.39,2.42,167009,4.1,0.64,1.23,0.03,78
48968129.36,2.49,2024-02-21,2.54,2.43,2.45,195869,4.45,0.75,0.81,0.02,78
35679971.96,2.51,2024-02-22,2.53,2.45,2.52,143211,3.21,0.55,0.8,0.02,78
40359008.64,2.55,2024-02-23,2.56,2.48,2.5,160152,3.19,0.61,1.59,0.04,78
54528359.18,2.59,2024-02-26,2.64,2.53,2.57,210962,4.31,0.8,1.57,0.04,78
35730316.88,2.63,2024-02-27,2.63,2.56,2.58,137205,2.7,0.52,1.54,0.04,78
100375804.24,2.51,2024-02-28,2.73,2.5,2.68,382196,8.75,1.46,-4.56,-0.12,78
60926554.94,2.56,2024-02-29,2.56,2.46,2.47,241168,3.98,0.92,1.99,0.05,78
52880434.06,2.53,2024-03-01,2.58,2.5,2.54,208727,3.13,0.79,-1.17,-0.03,78
45733923.15,2.53,2024-03-04,2.56,2.49,2.55,181443,2.77,0.69,0.0,0.0,78
41040357.42,2.47,2024-03-05,2.52,2.45,2.51,166059,2.77,0.63,-2.37,-0.06,78
33795094.0,2.46,2024-03-06,2.49,2.42,2.45,137521,2.83,0.52,-0.4,-0.01,78
36649227.58,2.43,2024-03-07,2.49,2.41,2.47,149496,3.25,0.57,-1.22,-0.03,78
32915645.05,2.43,2024-03-08,2.45,2.38,2.43,136245,2.88,0.52,0.0,0.0,78
41728515.65,2.47,2024-03-11,2.48,2.41,2.41,170351,2.88,0.65,1.65,0.04,78
63994254.12,2.54,2024-03-12,2.54,2.46,2.47,254381,3.24,0.97,2.83,0.07,78
50394900.2,2.5,2024-03-13,2.54,2.47,2.53,201688,2.76,0.77,-1.57,-0.04,78
48396477.4,2.49,2024-03-14,2.58,2.47,2.54,191871,4.4,0.73,-0.4,-0.01,78
57593356.83,2.53,2024-03-15,2.54,2.46,2.49,228715,3.21,0.87,1.61,0.04,78
68755624.73,2.59,2024-03-18,2.59,2.51,2.54,268751,3.16,1.02,2.37,0.06,78
57001663.32,2.56,2024-03-19,2.61,2.55,2.58,220786,2.32,0.84,-1.16,-0.03,78
56445607.21,2.6,2024-03-20,2.61,2.54,2.56,219038,2.73,0.83,1.56,0.04,78
44973694.68,2.6,2024-03-21,2.62,2.55,2.6,173729,2.69,0.66,0.0,0.0,78
48427801.46,2.54,2024-03-22,2.59,2.5,2.57,190502,3.46,0.73,-2.31,-0.06,78
45502602.32,2.45,2024-03-25,2.55,2.44,2.52,182760,4.33,0.7,-3.54,-0.09,78
40749276.84,2.43,2024-03-26,2.45,2.39,2.43,168401,2.45,0.64,-0.82,-0.02,78
39941999.82,2.39,2024-03-27,2.47,2.38,2.44,164162,3.7,0.63,-1.65,-0.04,78
28567000.14,2.42,2024-03-28,2.45,2.37,2.39,118253,3.35,0.45,1.26,0.03,78
29985636.5,2.43,2024-03-29,2.43,2.4,2.4,124130,1.24,0.47,0.41,0.01,78
37966921.32,2.5,2024-04-01,2.5,2.43,2.43,153783,2.88,0.59,2.88,0.07,78
32291361.61,2.51,2024-04-02,2.52,2.46,2.51,129471,2.4,0.49,0.4,0.01,78
34551480.81,2.53,2024-04-03,2.54,2.5,2.51,137278,1.59,0.52,0.8,0.02,78
39205399.99,2.43,2024-04-08,2.53,2.43,2.51,158877,3.95,0.6,-3.95,-0.1,78
30640577.0,2.49,2024-04-09,2.49,2.42,2.43,124653,2.88,0.47,2.47,0.06,78
30794256.5,2.42,2024-04-10,2.48,2.4,2.48,126709,3.21,0.48,-2.81,-0.07,78
23157643.0,2.41,2024-04-11,2.44,2.39,2.39,95743,2.07,0.36,-0.41,-0.01,78
35910122.5,2.34,2024-04-12,2.42,2.33,2.41,151569,3.73,0.58,-2.9,-0.07,78
56828392.39,2.24,2024-04-15,2.34,2.19,2.31,251902,6.41,0.96,-4.27,-0.1,78
51945831.85,2.11,2024-04-16,2.24,2.09,2.2,241466,6.7,0.92,-5.8,-0.13,78
38483184.57,2.2,2024-04-17,2.2,2.11,2.11,177203,4.27,0.67,4.27,0.09,78
38513816.95,2.16,2024-04-18,2.2,2.15,2.2,176947,2.27,0.67,-1.82,-0.04,78
25078685.0,2.15,2024-04-19,2.18,2.12,2.16,116970,2.78,0.45,-0.46,-0.01,78
28881750.39,2.18,2024-04-22,2.2,2.12,2.14,133252,3.72,0.51,1.4,0.03,78
21669373.5,2.17,2024-04-23,2.2,2.16,2.18,99570,1.83,0.38,-0.46,-0.01,78
19397815.46,2.17,2024-04-24,2.18,2.15,2.17,89507,1.38,0.34,0.0,0.0,78
27821638.48,2.2,2024-04-25,2.21,2.16,2.17,126635,2.3,0.48,1.38,0.03,78
32250477.2,2.23,2024-04-26,2.23,2.18,2.2,146097,2.27,0.56,1.36,0.03,78
40068057.5,2.32,2024-04-29,2.32,2.22,2.23,175571,4.48,0.67,4.04,0.09,78
43363255.99,2.33,2024-04-30,2.35,2.28,2.3,186520,3.02,0.71,0.43,0.01,78
49919001.5,2.4,2024-05-06,2.41,2.36,2.36,208834,2.15,0.8,3.0,0.07,78
49234065.68,2.4,2024-05-07,2.42,2.37,2.41,205660,2.08,0.78,0.0,0.0,78
134698447.71,2.49,2024-05-08,2.57,2.41,2.42,542426,6.67,2.07,3.75,0.09,78
104813477.89,2.53,2024-05-09,2.59,2.43,2.46,413710,6.43,1.58,1.61,0.04,78
67124141.74,2.48,2024-05-10,2.57,2.46,2.5,268528,4.35,1.02,-1.98,-0.05,78
54403643.6,2.39,2024-05-13,2.46,2.38,2.44,224803,3.23,0.86,-3.63,-0.09,78
33225077.24,2.39,2024-05-14,2.43,2.37,2.38,138322,2.51,0.53,0.0,0.0,78
29947357.75,2.35,2024-05-15,2.4,2.35,2.4,126488,2.09,0.48,-1.67,-0.04,78
32585625.57,2.38,2024-05-16,2.4,2.35,2.36,137300,2.13,0.52,1.28,0.03,78
38857018.8,2.4,2024-05-17,2.41,2.35,2.37,163233,2.52,0.62,0.84,0.02,78
37764977.28,2.37,2024-05-20,2.41,2.36,2.39,158402,2.08,0.6,-1.25,-0.03,78
27095488.52,2.33,2024-05-21,2.37,2.31,2.35,116205,2.53,0.44,-1.69,-0.04,78
29764178.88,2.32,2024-05-22,2.35,2.3,2.32,128346,2.15,0.49,-0.43,-0.01,78
33003636.78,2.27,2024-05-23,2.31,2.25,2.31,144744,2.59,0.55,-2.16,-0.05,78
27117493.36,2.27,2024-05-24,2.3,2.26,2.27,118870,1.76,0.45,0.0,0.0,78
28470472.18,2.29,2024-05-27,2.3,2.23,2.27,125706,3.08,0.48,0.88,0.02,78
25018154.1,2.25,2024-05-28,2.29,2.24,2.29,110791,2.18,0.42,-1.75,-0.04,78
23892358.04,2.25,2024-05-29,2.26,2.22,2.25,106660,1.78,0.41,0.0,0.0,78
23567095.86,2.22,2024-05-30,2.25,2.21,2.24,105911,1.78,0.4,-1.33,-0.03,78
78682873.99,2.35,2024-05-31,2.42,2.23,2.24,337334,8.56,1.28,5.86,0.13,78
77663557.03,2.21,2024-06-03,2.34,2.17,2.33,349844,7.23,1.33,-5.96,-0.14,78
29298155.02,2.21,2024-06-04,2.22,2.15,2.19,133758,3.17,0.51,0.0,0.0,78
25230758.5,2.16,2024-06-05,2.21,2.16,2.2,115457,2.26,0.44,-2.26,-0.05,78
36777343.05,2.11,2024-06-06,2.18,2.09,2.16,172947,4.17,0.66,-2.31,-0.05,78
31261551.09,2.2,2024-06-07,2.2,2.13,2.13,144092,3.32,0.55,4.27,0.09,78
24746361.14,2.14,2024-06-11,2.19,2.13,2.19,115291,2.73,0.44,-2.73,-0.06,78
19705768.12,2.16,2024-06-12,2.17,2.13,2.15,91435,1.87,0.35,0.93,0.02,78
23581839.71,2.12,2024-06-13,2.17,2.11,2.17,110842,2.78,0.42,-1.85,-0.04,78
16730061.0,2.14,2024-06-14,2.15,2.1,2.12,78652,2.36,0.3,0.94,0.02,78
