amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,涨跌幅,涨跌额,股票代码
34078737.99,,,3.79,2024-01-08,3.87,3.79,3.86,,,89040,2.07,1.29,-1.81,-0.07,2094
46944468.5,,,3.87,2024-01-09,3.89,3.79,3.79,,,121648,2.64,1.76,2.11,0.08,2094
91042691.7,,,3.93,2024-01-10,3.98,3.82,3.87,,,232248,4.13,3.36,1.55,0.06,2094
63019580.0,,,3.94,2024-01-11,3.97,3.9,3.91,,,160318,1.78,2.32,0.25,0.01,2094
52517224.0,,,3.9,2024-01-12,3.96,3.88,3.94,,,134076,2.03,1.94,-1.02,-0.04,2094
75962892.8,,,3.96,2024-01-15,3.99,3.89,3.9,,,191982,2.56,2.78,1.54,0.06,2094
69747514.6,,,3.94,2024-01-16,4.0,3.88,3.98,,,177509,3.03,2.57,-0.51,-0.02,2094
53301742.7,,,3.88,2024-01-17,3.97,3.86,3.92,,,136178,2.79,1.97,-1.52,-0.06,2094
78942301.44,,,3.84,2024-01-18,3.89,3.72,3.85,,,207310,4.38,3.0,-1.03,-0.04,2094
79761911.88,,,3.86,2024-01-19,3.92,3.8,3.85,,,206417,3.13,2.99,0.52,0.02,2094
107536177.57,,,3.53,2024-01-22,3.88,3.5,3.88,,,292016,9.84,4.23,-8.55,-0.33,2094
90089415.56,,,3.41,2024-01-23,3.5,3.3,3.48,,,266558,5.67,3.86,-3.4,-0.12,2094
86934668.56,,,3.49,2024-01-24,3.53,3.32,3.44,,,253220,6.16,3.67,2.35,0.08,2094
66251524.0,,,3.54,2024-01-25,3.55,3.42,3.49,,,189661,3.72,2.75,1.43,0.05,2094
58292959.16,,,3.55,2024-01-26,3.63,3.52,3.55,,,162752,3.11,2.36,0.28,0.01,2094
70837900.0,,,3.37,2024-01-29,3.57,3.36,3.57,,,206464,5.92,2.99,-5.07,-0.18,2094
61939572.0,,,3.2,2024-01-30,3.35,3.17,3.34,,,190745,5.34,2.76,-5.04,-0.17,2094
63497750.1,,,3.07,2024-01-31,3.22,3.03,3.18,,,203884,5.94,2.95,-4.06,-0.13,2094
60986723.37,,,2.98,2024-02-01,3.07,2.88,3.07,,,205179,6.19,2.97,-2.93,-0.09,2094
89770971.3,,,2.75,2024-02-02,3.04,2.68,2.98,,,317608,12.08,4.6,-7.72,-0.23,2094
60627956.08,,,2.48,2024-02-05,2.69,2.48,2.68,,,240951,7.64,3.49,-9.82,-0.27,2094
101471622.92,,,2.3,2024-02-06,2.44,2.23,2.27,,,446542,8.47,6.47,-7.26,-0.18,2094
95838726.13,,,2.09,2024-02-07,2.34,2.07,2.31,,,442434,11.74,6.41,-9.13,-0.21,2094
78439759.74,,,2.25,2024-02-08,2.27,1.99,2.12,,,364366,13.4,5.28,7.66,0.16,2094
85766441.32,,,2.39,2024-02-19,2.42,2.27,2.29,,,365576,6.67,5.29,6.22,0.14,2094
60612920.38,,,2.46,2024-02-20,2.47,2.34,2.39,,,250925,5.44,3.63,2.93,0.07,2094
69228846.93,,,2.53,2024-02-21,2.63,2.41,2.42,,,272828,8.94,3.95,2.85,0.07,2094
65302248.5,,,2.63,2024-02-22,2.65,2.51,2.54,,,252876,5.53,3.66,3.95,0.1,2094
119138980.27,,,2.89,2024-02-23,2.89,2.63,2.63,,,425713,9.89,6.17,9.89,0.26,2094
155243184.72,,,2.83,2024-02-26,2.93,2.77,2.8,,,549687,5.54,7.96,-2.08,-0.06,2094
94516177.72,,,2.9,2024-02-27,2.9,2.78,2.8,,,330603,4.24,4.79,2.47,0.07,2094
120343807.12,,,2.64,2024-02-28,2.98,2.63,2.93,,,426051,12.07,6.17,-8.97,-0.26,2094
75354195.02,,,2.76,2024-02-29,2.76,2.59,2.62,,,279102,6.44,4.04,4.55,0.12,2094
58356760.0,,,2.75,2024-03-01,2.78,2.7,2.76,,,213525,2.9,3.09,-0.36,-0.01,2094
44159773.2,,,2.72,2024-03-04,2.78,2.63,2.75,,,163310,5.45,2.37,-1.09,-0.03,2094
42517230.57,,,2.63,2024-03-05,2.71,2.62,2.7,,,160208,3.31,2.32,-3.31,-0.09,2094
39859317.53,,,2.71,2024-03-06,2.72,2.62,2.63,,,148390,3.8,2.15,3.04,0.08,2094
51427384.08,,,2.73,2024-03-07,2.78,2.68,2.71,,,188114,3.69,2.72,0.74,0.02,2094
42913310.56,,,2.75,2024-03-08,2.77,2.68,2.71,,,157267,3.3,2.28,0.73,0.02,2094
42143699.6,,,2.78,2024-03-11,2.78,2.71,2.73,,,153193,2.55,2.22,1.09,0.03,2094
54752419.0,,,2.85,2024-03-12,2.86,2.77,2.78,,,194218,3.24,2.81,2.52,0.07,2094
45169612.7,,,2.83,2024-03-13,2.88,2.79,2.85,,,159740,3.16,2.31,-0.7,-0.02,2094
37256806.0,,,2.8,2024-03-14,2.85,2.76,2.83,,,132755,3.18,1.92,-1.06,-0.03,2094
47878101.22,,,2.88,2024-03-15,2.88,2.78,2.78,,,168377,3.57,2.44,2.86,0.08,2094
54838144.47,,,2.94,2024-03-18,2.95,2.87,2.89,,,188515,2.78,2.73,2.08,0.06,2094
49926417.8,,,2.94,2024-03-19,2.99,2.92,2.94,,,169286,2.38,2.45,0.0,0.0,2094
51348621.2,,,3.0,2024-03-20,3.02,2.92,2.93,,,172466,3.4,2.5,2.04,0.06,2094
54239163.3,,,3.02,2024-03-21,3.04,2.95,3.0,,,180731,3.0,2.62,0.67,0.02,2094
51581083.26,,,2.97,2024-03-22,3.02,2.91,3.01,,,173773,3.64,2.52,-1.66,-0.05,2094
43514513.5,,,2.88,2024-03-25,2.97,2.87,2.96,,,148638,3.37,2.15,-3.03,-0.09,2094
50039170.0,,,2.92,2024-03-26,2.93,2.83,2.89,,,173277,3.47,2.51,1.39,0.04,2094
46973472.0,,,2.79,2024-03-27,2.91,2.78,2.9,,,164569,4.45,2.38,-4.45,-0.13,2094
37770309.06,,,2.86,2024-03-28,2.9,2.8,2.81,,,132371,3.58,1.92,2.51,0.07,2094
47709663.9,,,2.95,2024-03-29,2.96,2.84,2.88,,,163353,4.2,2.37,3.15,0.09,2094
43347035.48,,,2.98,2024-04-01,2.99,2.93,2.95,,,146378,2.03,2.12,1.02,0.03,2094
68219431.0,,,3.04,2024-04-02,3.06,2.96,2.97,,,225881,3.36,3.27,2.01,0.06,2094
48094198.0,,,3.0,2024-04-03,3.06,2.96,3.02,,,160727,3.29,2.33,-1.32,-0.04,2094
46364204.84,,,2.88,2024-04-08,2.99,2.87,2.99,,,159018,4.0,2.3,-4.0,-0.12,2094
35683566.0,,,2.94,2024-04-09,2.95,2.86,2.88,,,122269,3.13,1.77,2.08,0.06,2094
42340109.8,,,2.85,2024-04-10,2.94,2.81,2.94,,,148042,4.42,2.14,-3.06,-0.09,2094
31614014.5,,,2.86,2024-04-11,2.89,2.8,2.82,,,110492,3.16,1.6,0.35,0.01,2094
47435123.0,,,2.87,2024-04-12,2.96,2.84,2.85,,,164530,4.2,2.38,0.35,0.01,2094
86406686.3,,,2.58,2024-04-15,2.89,2.58,2.87,,,323683,10.8,4.69,-10.1,-0.29,2094
62034902.38,,,2.32,2024-04-16,2.57,2.32,2.55,,,261868,9.69,3.79,-10.08,-0.26,2094
77203820.1,,,2.46,2024-04-17,2.47,2.24,2.29,,,320390,9.91,4.64,6.03,0.14,2094
50330958.18,,,2.43,2024-04-18,2.49,2.39,2.45,,,206171,4.07,2.99,-1.22,-0.03,2094
39848358.24,,,2.43,2024-04-19,2.48,2.39,2.44,,,163385,3.7,2.37,0.0,0.0,2094
41604646.0,,,2.35,2024-04-22,2.45,2.26,2.44,,,177513,7.82,2.57,-3.29,-0.08,2094
39606513.76,,,2.41,2024-04-23,2.43,2.34,2.36,,,164995,3.83,2.39,2.55,0.06,2094
50739167.0,,,2.51,2024-04-24,2.55,2.4,2.41,,,204005,6.22,2.95,4.15,0.1,2094
36509012.6,,,2.52,2024-04-25,2.54,2.45,2.46,,,145529,3.59,2.11,0.4,0.01,2094
36611848.4,,,2.55,2024-04-26,2.57,2.46,2.51,,,145036,4.37,2.1,1.19,0.03,2094
35977581.6,,,2.66,2024-04-29,2.67,2.53,2.53,,,137397,5.49,1.99,4.31,0.11,2094
43128907.44,,,2.62,2024-04-30,2.68,2.58,2.63,,,164708,3.76,2.39,-1.5,-0.04,2094
40646531.44,,,2.68,2024-05-06,2.7,2.63,2.64,,,152085,2.67,2.2,2.29,0.06,2094
30718668.66,,,2.7,2024-05-07,2.75,2.67,2.74,,,114236,2.99,1.65,0.75,0.02,2094
73967328.0,,,2.66,2024-05-08,2.79,2.64,2.71,,,274032,5.56,3.97,-1.48,-0.04,2094
49114948.5,,,2.7,2024-05-09,2.75,2.62,2.62,,,182498,4.89,2.64,1.5,0.04,2094
39657083.4,,,2.63,2024-05-10,2.73,2.63,2.7,,,149248,3.7,2.16,-2.59,-0.07,2094
62445605.71,,,2.49,2024-05-13,2.59,2.48,2.59,,,247005,4.18,3.58,-5.32,-0.14,2094
47892154.65,,,2.58,2024-05-14,2.58,2.49,2.49,,,188073,3.61,2.72,3.61,0.09,2094
30488630.05,,,2.55,2024-05-15,2.6,2.53,2.56,,,118529,2.71,1.72,-1.16,-0.03,2094
34071609.6,,,2.6,2024-05-16,2.63,2.57,2.57,,,130653,2.35,1.89,1.96,0.05,2094
32456809.2,,,2.61,2024-05-17,2.63,2.56,2.62,,,125538,2.69,1.82,0.38,0.01,2094
35637670.78,,,2.58,2024-05-20,2.64,2.57,2.6,,,136925,2.68,1.98,-1.15,-0.03,2094
26990018.6,,,2.53,2024-05-21,2.59,2.51,2.58,,,106110,3.1,1.54,-1.94,-0.05,2094
48515020.0,,,2.56,2024-05-22,2.7,2.54,2.56,,,186414,6.32,2.7,1.19,0.03,2094
46034098.34,,,2.43,2024-05-23,2.55,2.42,2.54,,,186067,5.08,2.69,-5.08,-0.13,2094
26335653.4,,,2.41,2024-05-24,2.47,2.41,2.43,,,108124,2.47,1.57,-0.82,-0.02,2094
23630568.4,,,2.4,2024-05-27,2.44,2.36,2.42,,,98781,3.32,1.43,-0.41,-0.01,2094
43018094.6,,,2.3,2024-05-28,2.38,2.29,2.37,,,184982,3.75,2.68,-4.17,-0.1,2094
28545526.6,,,2.28,2024-05-29,2.34,2.27,2.3,,,124182,3.04,1.8,-0.87,-0.02,2094
29038762.66,,,2.24,2024-05-30,2.3,2.23,2.29,,,128598,3.07,1.86,-1.75,-0.04,2094
28307492.3,,,2.24,2024-05-31,2.26,2.22,2.24,,,126426,1.79,1.83,0.0,0.0,2094
59769818.6,,,2.14,2024-06-03,2.25,2.09,2.24,,,277008,7.14,4.01,-4.46,-0.1,2094
40141709.9,,,2.11,2024-06-04,2.19,2.06,2.17,,,191117,6.07,2.77,-1.4,-0.03,2094
33933255.7,,,2.06,2024-06-05,2.11,2.05,2.09,,,163535,2.84,2.37,-2.37,-0.05,2094
52650663.14,,,1.92,2024-06-06,2.07,1.87,2.04,,,270690,9.71,3.92,-6.8,-0.14,2094
46131507.78,,,2.01,2024-06-07,2.02,1.94,1.94,,,232128,4.17,3.36,4.69,0.09,2094
38530191.3,,,1.99,2024-06-11,2.01,1.94,2.0,,,195204,3.48,2.83,-1.0,-0.02,2094
31174648.0,,,2.05,2024-06-12,2.06,1.97,1.98,,,154001,4.52,2.23,3.02,0.06,2094
29572229.6,,,1.98,2024-06-13,2.07,1.97,2.04,,,147342,4.88,2.13,-3.41,-0.07,2094
28727498.0,,,1.98,2024-06-14,2.0,1.94,1.98,,,145623,3.03,2.11,0.0,0.0,2094
32582315.12,,,1.91,2024-06-17,1.97,1.9,1.96,,,169754,3.54,2.46,-3.54,-0.07,2094
28085665.9,,,1.94,2024-06-18,1.96,1.89,1.92,,,145304,3.66,2.1,1.57,0.03,2094
23052387.56,,,1.95,2024-06-19,1.98,1.93,1.96,,,118084,2.58,1.71,0.52,0.01,2094
26408303.21,,,1.87,2024-06-20,1.95,1.87,1.94,,,139119,4.1,2.01,-4.1,-0.08,2094
20836166.1,,,1.84,2024-06-21,1.9,1.84,1.88,,,111958,3.21,1.62,-1.6,-0.03,2094
32165762.7,,,1.75,2024-06-24,1.82,1.74,1.82,,,180918,4.35,2.62,-4.89,-0.09,2094
