date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2024-01-08,300658,6.84,6.75,6.92,6.73,30943,21461422.0,2.78,-1.17,-0.08,1.37
2024-01-09,300658,6.74,6.82,6.88,6.74,37329,25887948.0,2.07,1.04,0.07,1.66
2024-01-10,300658,6.82,7.17,8.07,6.74,328075,245510264.0,19.5,5.13,0.35,14.55
2024-01-11,300658,7.07,7.08,7.16,6.88,323053,230063539.0,3.91,-1.26,-0.09,14.33
2024-01-12,300658,7.03,6.79,7.03,6.77,250961,176283461.0,3.67,-4.1,-0.29,11.13
2024-01-15,300658,6.7,6.98,6.98,6.56,205390,143753712.0,6.19,2.8,0.19,9.11
2024-01-16,300658,6.89,6.83,6.93,6.7,135588,93829944.0,3.3,-2.15,-0.15,6.01
2024-01-17,300658,6.82,6.84,6.95,6.73,152207,106367437.0,3.22,0.15,0.01,6.75
2024-01-18,300658,6.78,6.66,6.9,6.49,150847,102875370.0,5.99,-2.63,-0.18,6.69
2024-01-19,300658,6.64,6.55,6.82,6.53,113756,77276510.0,4.35,-1.65,-0.11,5.04
2024-01-22,300658,6.47,6.05,6.57,5.98,121463,78167540.0,9.01,-7.63,-0.5,5.39
2024-01-23,300658,6.05,5.77,6.06,5.68,103612,61436541.0,6.28,-4.63,-0.28,4.59
2024-01-24,300658,5.74,6.0,6.09,5.73,105523,63901228.0,6.24,3.99,0.23,4.68
2024-01-25,300658,6.05,6.18,6.2,5.92,82886,51289781.0,4.67,3.0,0.18,3.68
2024-01-26,300658,6.16,6.26,6.4,6.14,76713,49297536.0,4.21,1.29,0.08,3.4
2024-01-29,300658,6.26,5.92,6.35,5.92,72095,44612319.0,6.87,-5.43,-0.34,3.2
2024-01-30,300658,5.92,5.62,5.96,5.6,65299,38430693.0,6.08,-5.07,-0.3,2.9
2024-01-31,300658,5.66,5.25,5.66,5.2,83039,45680535.0,8.19,-6.58,-0.37,3.68
2024-02-01,300658,5.24,5.1,5.24,4.92,72756,37828727.0,6.1,-2.86,-0.15,3.23
2024-02-02,300658,5.1,4.83,5.24,4.62,92553,46434580.0,12.16,-5.29,-0.27,4.1
2024-02-05,300658,4.72,4.08,4.75,3.88,139083,60115571.0,18.01,-15.53,-0.75,6.17
2024-02-06,300658,3.92,3.95,4.16,3.64,132456,52321627.0,12.75,-3.19,-0.13,5.87
2024-02-07,300658,3.97,3.64,3.98,3.6,124694,48162914.0,9.62,-7.85,-0.31,5.53
2024-02-08,300658,3.75,4.04,4.05,3.47,132494,51378106.0,15.93,10.99,0.4,5.88
2024-02-19,300658,4.1,4.33,4.38,4.07,102757,45031524.0,7.67,7.18,0.29,4.56
2024-02-20,300658,4.36,4.4,4.44,4.23,70257,31500943.0,4.85,1.62,0.07,3.12
2024-02-21,300658,4.4,4.46,4.67,4.35,77240,36015285.0,7.27,1.36,0.06,3.43
2024-02-22,300658,4.47,4.7,4.7,4.47,80427,38090727.0,5.16,5.38,0.24,3.57
2024-02-23,300658,4.71,4.84,4.85,4.65,84361,41216115.0,4.26,2.98,0.14,3.74
2024-02-26,300658,4.86,5.03,5.24,4.83,127006,65212697.0,8.47,3.93,0.19,5.63
2024-02-27,300658,5.03,5.21,5.24,4.98,81551,42829092.0,5.17,3.58,0.18,3.62
2024-02-28,300658,5.21,4.64,5.45,4.63,150034,77882535.0,15.74,-10.94,-0.57,6.66
2024-02-29,300658,4.57,4.84,4.86,4.55,94268,46097158.0,6.68,4.31,0.2,4.18
2024-03-01,300658,4.85,4.94,4.97,4.77,65548,32857013.0,4.13,2.07,0.1,2.91
2024-03-04,300658,4.93,4.91,4.98,4.77,59301,29617620.0,4.25,-0.61,-0.03,2.63
2024-03-05,300658,4.87,4.74,4.87,4.7,55299,27026644.0,3.46,-3.46,-0.17,2.45
2024-03-06,300658,4.73,4.82,4.86,4.7,58355,28744874.0,3.38,1.69,0.08,2.59
2024-03-07,300658,4.82,4.82,4.96,4.8,61725,30923449.0,3.32,0.0,0.0,2.74
2024-03-08,300658,4.83,4.9,4.92,4.82,44580,22328638.0,2.07,1.66,0.08,1.98
2024-03-11,300658,4.9,5.01,5.02,4.86,42005,21246735.0,3.27,2.24,0.11,1.86
2024-03-12,300658,5.02,5.11,5.11,4.99,47225,24496358.0,2.4,2.0,0.1,2.1
2024-03-13,300658,5.1,5.09,5.17,5.02,44705,23312877.0,2.94,-0.39,-0.02,1.98
2024-03-14,300658,5.07,5.06,5.12,4.99,33316,17326694.0,2.55,-0.59,-0.03,1.48
2024-03-15,300658,5.06,5.13,5.14,5.02,41906,21859889.0,2.37,1.38,0.07,1.86
2024-03-18,300658,5.15,5.26,5.27,5.15,48998,26163839.0,2.34,2.53,0.13,2.17
2024-03-19,300658,5.25,5.28,5.35,5.23,46478,25194598.0,2.28,0.38,0.02,2.06
2024-03-20,300658,5.28,5.39,5.41,5.28,49844,27374128.0,2.46,2.08,0.11,2.21
2024-03-21,300658,5.39,5.39,5.46,5.29,43586,23964949.0,3.15,0.0,0.0,1.93
2024-03-22,300658,5.37,5.26,5.43,5.22,49304,26725914.0,3.9,-2.41,-0.13,2.19
2024-03-25,300658,5.25,5.13,5.31,5.13,42812,22922511.0,3.42,-2.47,-0.13,1.9
2024-03-26,300658,5.15,5.13,5.2,5.0,40932,21527321.0,3.9,0.0,0.0,1.82
2024-03-27,300658,5.17,5.0,5.19,5.0,40212,21014160.0,3.7,-2.53,-0.13,1.78
2024-03-28,300658,5.02,5.1,5.12,4.96,69666,36228567.0,3.2,2.0,0.1,3.09
2024-03-29,300658,5.09,5.2,5.21,5.04,50769,26760793.0,3.33,1.96,0.1,2.25
2024-04-01,300658,5.24,5.35,5.35,5.22,46810,25336528.0,2.5,2.88,0.15,2.08
2024-04-02,300658,5.37,5.41,5.44,5.3,47952,26461889.0,2.62,1.12,0.06,2.13
2024-04-03,300658,5.4,5.39,5.42,5.29,39999,21987921.0,2.4,-0.37,-0.02,1.77
2024-04-08,300658,5.39,5.09,5.39,5.05,59826,31857162.0,6.31,-5.57,-0.3,2.65
2024-04-09,300658,5.1,5.29,5.3,5.09,46491,24834537.0,4.13,3.93,0.2,2.06
2024-04-10,300658,5.29,5.08,5.29,5.05,49581,26063388.0,4.54,-3.97,-0.21,2.2
2024-04-11,300658,5.04,5.08,5.2,4.97,42261,22139913.0,4.53,0.0,0.0,1.87
2024-04-12,300658,5.09,5.12,5.22,5.08,38795,20442243.0,2.76,0.79,0.04,1.72
2024-04-15,300658,5.04,4.61,5.11,4.45,109224,52555430.0,12.89,-9.96,-0.51,4.85
2024-04-16,300658,4.56,4.03,4.57,3.98,112879,48002697.0,12.8,-12.58,-0.58,5.01
2024-04-17,300658,4.07,4.45,4.46,4.04,100544,44765902.0,10.42,10.42,0.42,4.46
2024-04-18,300658,4.41,4.35,4.47,4.28,66860,30060966.0,4.27,-2.25,-0.1,2.97
2024-04-19,300658,4.33,4.34,4.41,4.26,54581,24355153.0,3.45,-0.23,-0.01,2.42
2024-04-22,300658,4.32,4.29,4.41,4.18,46642,20633705.0,5.3,-1.15,-0.05,2.07
2024-04-23,300658,4.3,4.44,4.48,4.3,48745,22092572.0,4.2,3.5,0.15,2.16
2024-04-24,300658,4.37,4.48,4.53,4.35,48592,22274812.0,4.05,0.9,0.04,2.16
2024-04-25,300658,4.46,4.5,4.56,4.4,59356,27408966.0,3.57,0.45,0.02,2.63
2024-04-26,300658,4.48,4.53,4.56,4.42,45864,21260577.0,3.11,0.67,0.03,2.03
2024-04-29,300658,4.54,4.79,4.8,4.54,56620,27395360.0,5.74,5.74,0.26,2.51
2024-04-30,300658,4.79,4.84,4.86,4.72,55012,27106785.0,2.92,1.04,0.05,2.44
2024-05-06,300658,4.86,5.03,5.06,4.86,58578,29955423.0,4.13,3.93,0.19,2.6
2024-05-07,300658,5.03,5.01,5.09,4.96,41793,21479484.0,2.58,-0.4,-0.02,1.85
2024-05-08,300658,5.01,4.98,5.08,4.95,43872,22557111.0,2.59,-0.6,-0.03,1.95
2024-05-09,300658,5.0,5.1,5.11,4.99,55692,28983979.0,2.41,2.41,0.12,2.47
2024-05-10,300658,5.11,5.04,5.14,4.97,46764,24164725.0,3.33,-1.18,-0.06,2.07
2024-05-13,300658,5.04,4.93,5.06,4.83,46593,23640250.0,4.56,-2.18,-0.11,2.07
2024-05-14,300658,4.97,5.06,5.1,4.93,43814,22683954.0,3.45,2.64,0.13,1.94
2024-05-15,300658,5.06,5.07,5.15,4.99,38830,20233383.0,3.16,0.2,0.01,1.72
2024-05-16,300658,5.05,5.12,5.16,5.05,33343,17529152.0,2.17,0.99,0.05,1.48
2024-05-17,300658,5.11,5.2,5.2,5.1,33175,17528350.0,1.95,1.56,0.08,1.47
2024-05-20,300658,5.2,5.06,5.25,5.03,53026,27729488.0,4.23,-2.69,-0.14,2.35
2024-05-21,300658,5.01,5.01,5.09,4.97,37479,19265441.0,2.37,-0.99,-0.05,1.66
2024-05-22,300658,5.02,5.05,5.12,4.97,30675,15936250.0,2.99,0.8,0.04,1.36
2024-05-23,300658,5.03,4.88,5.04,4.84,44809,22550065.0,3.96,-3.37,-0.17,1.99
2024-05-24,300658,4.89,4.88,4.93,4.8,28153,14111967.0,2.66,0.0,0.0,1.25
2024-05-27,300658,4.86,4.9,4.93,4.81,30914,15400767.0,2.46,0.41,0.02,1.37
2024-05-28,300658,4.89,4.81,4.91,4.79,26138,12981396.0,2.45,-1.84,-0.09,1.16
2024-05-29,300658,4.83,4.87,4.92,4.77,33820,16939585.0,3.12,1.25,0.06,1.5
2024-05-30,300658,4.87,4.8,4.89,4.77,22815,11297509.0,2.46,-1.44,-0.07,1.01
2024-05-31,300658,4.8,4.87,4.9,4.76,30126,14953570.0,2.92,1.46,0.07,1.34
2024-06-03,300658,4.88,4.57,4.88,4.48,72392,34313738.0,8.21,-6.16,-0.3,3.21
2024-06-04,300658,4.57,4.44,4.59,4.33,58341,26528016.0,5.69,-2.84,-0.13,2.59
2024-06-05,300658,4.44,4.28,4.44,4.27,41663,18558327.0,3.83,-3.6,-0.16,1.85
2024-06-06,300658,4.29,4.0,4.33,3.9,71485,29965419.0,10.05,-6.54,-0.28,3.17
2024-06-07,300658,4.03,4.24,4.29,4.03,61939,26833473.0,6.5,6.0,0.24,2.75
2024-06-11,300658,4.24,4.2,4.29,4.09,49499,21216234.0,4.72,-0.94,-0.04,2.2
2024-06-12,300658,4.2,4.35,4.37,4.18,42687,18933761.0,4.52,3.57,0.15,1.89
2024-06-13,300658,4.37,4.26,4.38,4.2,40683,17738037.0,4.14,-2.07,-0.09,1.8
2024-06-14,300658,4.26,4.23,4.28,4.14,37464,16179330.0,3.29,-0.7,-0.03,1.66
2024-06-17,300658,4.21,4.15,4.23,4.12,36108,15403700.0,2.6,-1.89,-0.08,1.6
2024-06-18,300658,4.15,4.27,4.3,4.11,43410,18787529.0,4.58,2.89,0.12,1.93
2024-06-19,300658,4.3,4.27,4.34,4.22,31017,13587814.0,2.81,0.0,0.0,1.38
2024-06-20,300658,4.26,4.16,4.29,4.14,27428,11771413.0,3.51,-2.58,-0.11,1.22
2024-06-21,300658,4.12,4.13,4.19,4.07,31322,13308541.0,2.88,-0.72,-0.03,1.39
2024-06-24,300658,4.09,3.95,4.1,3.9,40976,16672358.0,4.84,-4.36,-0.18,1.82
2024-06-25,300658,3.91,3.99,4.08,3.91,35277,14488423.0,4.3,1.01,0.04,1.57
2024-06-26,300658,3.97,4.17,4.18,3.94,38442,15954449.0,6.02,4.51,0.18,1.71
2024-06-27,300658,4.17,4.12,4.28,4.1,33456,14312388.0,4.32,-1.2,-0.05,1.48
2024-06-28,300658,4.08,4.12,4.2,4.08,30916,13139927.0,2.91,0.0,0.0,1.37
2024-07-01,300658,4.13,4.2,4.2,4.05,32664,13827706.0,3.64,1.94,0.08,1.45
2024-07-02,300658,4.2,4.28,4.32,4.19,32001,13988890.0,3.1,1.9,0.08,1.42
2024-07-03,300658,4.3,4.24,4.36,4.22,28246,12368855.0,3.27,-0.93,-0.04,1.25
2024-07-04,300658,4.26,4.07,4.28,4.03,41632,17635557.0,5.9,-4.01,-0.17,1.85
2024-07-05,300658,4.08,4.14,4.15,3.99,29177,12202196.0,3.93,1.72,0.07,1.29
2024-07-08,300658,4.15,3.98,4.16,3.96,29506,12153974.0,4.83,-3.86,-0.16,1.31
2024-07-09,300658,4.0,4.03,4.04,3.86,36088,14678477.0,4.52,1.26,0.05,1.6
2024-07-10,300658,4.03,3.92,4.03,3.9,30816,12470418.0,3.23,-2.73,-0.11,1.37
2024-07-11,300658,4.01,4.14,4.14,3.98,37821,15783864.0,4.08,5.61,0.22,1.68
2024-07-12,300658,4.12,4.13,4.24,4.08,28377,12067613.0,3.86,-0.24,-0.01,1.26
2024-07-15,300658,4.12,4.0,4.12,3.96,36378,14924710.0,3.87,-3.15,-0.13,1.61
2024-07-16,300658,4.02,3.95,4.05,3.92,28902,11749983.0,3.25,-1.25,-0.05,1.28
2024-07-17,300658,3.95,3.95,3.98,3.89,25189,10156739.0,2.28,0.0,0.0,1.12
2024-07-18,300658,3.96,3.88,3.96,3.8,38382,15163313.0,4.05,-1.77,-0.07,1.7
2024-07-19,300658,3.86,3.89,3.96,3.82,33527,13373539.0,3.61,0.26,0.01,1.49
2024-07-22,300658,3.86,3.93,3.97,3.86,21429,8618434.0,2.83,1.03,0.04,0.95
2024-07-23,300658,3.96,3.9,4.03,3.89,30568,12426923.0,3.56,-0.76,-0.03,1.36
2024-07-24,300658,3.86,3.83,3.91,3.81,29579,11684986.0,2.56,-1.79,-0.07,1.31
2024-07-25,300658,3.82,3.85,3.92,3.76,28135,11060554.0,4.18,0.52,0.02,1.25
2024-07-26,300658,3.86,3.92,3.94,3.85,28852,11569927.0,2.34,1.82,0.07,1.28
2024-07-29,300658,3.97,3.94,3.97,3.87,24529,9897362.0,2.55,0.51,0.02,1.09
2024-07-30,300658,3.94,4.0,4.01,3.93,22113,9013819.0,2.03,1.52,0.06,0.98
2024-07-31,300658,4.01,4.14,4.15,3.96,31196,13028003.0,4.75,3.5,0.14,1.38
2024-08-01,300658,4.18,4.15,4.22,4.12,30791,13143224.0,2.42,0.24,0.01,1.37
2024-08-02,300658,4.15,4.09,4.17,4.08,29061,12277702.0,2.17,-1.45,-0.06,1.29
2024-08-05,300658,4.05,4.01,4.14,3.99,31902,13302658.0,3.67,-1.96,-0.08,1.42
2024-08-06,300658,4.03,4.14,4.14,4.03,27674,11622905.0,2.74,3.24,0.13,1.23
2024-08-07,300658,4.14,4.12,4.18,4.09,22680,9612998.0,2.17,-0.48,-0.02,1.01
2024-08-08,300658,4.14,4.16,4.18,4.08,22114,9375849.0,2.43,0.97,0.04,0.98
2024-08-09,300658,4.2,4.13,4.22,4.11,18981,8107866.0,2.64,-0.72,-0.03,0.84
2024-08-12,300658,4.13,4.09,4.14,4.05,19273,8075318.0,2.18,-0.97,-0.04,0.86
2024-08-13,300658,4.07,4.15,4.16,4.03,25898,10873274.0,3.18,1.47,0.06,1.15
2024-08-14,300658,4.14,4.16,4.18,4.13,18109,7710176.0,1.2,0.24,0.01,0.8
2024-08-15,300658,4.16,4.21,4.22,4.08,35779,15277794.0,3.37,1.2,0.05,1.59
2024-08-16,300658,4.24,4.13,4.26,4.11,30446,12943672.0,3.56,-1.9,-0.08,1.35
2024-08-19,300658,4.09,4.18,4.22,4.08,28351,12083844.0,3.39,1.21,0.05,1.26
2024-08-20,300658,4.18,4.06,4.2,4.03,27051,11347804.0,4.07,-2.87,-0.12,1.2
2024-08-21,300658,4.03,4.05,4.1,4.03,16875,7032518.0,1.72,-0.25,-0.01,0.75
2024-08-22,300658,4.04,3.98,4.1,3.97,20859,8592742.0,3.21,-1.73,-0.07,0.93
2024-08-23,300658,3.99,3.9,4.01,3.89,29174,11777388.0,3.02,-2.01,-0.08,1.29
2024-08-26,300658,3.89,4.05,4.08,3.89,27604,11372134.0,4.87,3.85,0.15,1.22
2024-08-27,300658,4.07,4.0,4.09,3.98,31970,13192302.0,2.72,-1.23,-0.05,1.42
2024-08-28,300658,3.99,4.14,4.17,3.96,38642,16238814.0,5.25,3.5,0.14,1.71
2024-08-29,300658,4.14,4.27,4.48,4.14,88992,38798338.0,8.21,3.14,0.13,3.95
2024-08-30,300658,4.29,4.32,4.38,4.23,79476,35086777.0,3.51,1.17,0.05,3.53
2024-09-02,300658,4.32,4.35,4.4,4.28,58621,26128752.0,2.78,0.69,0.03,2.6
2024-09-03,300658,4.39,4.3,4.39,4.28,34394,15201225.0,2.53,-1.15,-0.05,1.53
2024-09-04,300658,4.28,4.24,4.31,4.23,29095,12711585.0,1.86,-1.4,-0.06,1.29
2024-09-05,300658,4.23,4.31,4.33,4.23,25037,10983081.0,2.36,1.65,0.07,1.11
2024-09-06,300658,4.28,4.25,4.34,4.23,30574,13394565.0,2.55,-1.39,-0.06,1.36
2024-09-09,300658,4.24,4.31,4.34,4.17,47865,20981823.0,4.0,1.41,0.06,2.12
2024-09-10,300658,4.32,4.31,4.35,4.24,39917,17503133.0,2.55,0.0,0.0,1.77
2024-09-11,300658,4.32,4.29,4.35,4.26,25666,11314596.0,2.09,-0.46,-0.02,1.14
2024-09-12,300658,4.28,4.3,4.36,4.27,34565,15284416.0,2.1,0.23,0.01,1.53
