amount,amplitude,change,close,date,high,low,open,pct_change,turnover,volume,振幅,换手率,日期,涨跌幅,涨跌额,股　　票　　代　　码　,股票代码
179045115.0,,,16.23,2025-12-15,16.49,16.06,16.26,,,109741,2.59,2.58,,-2.23,-0.37,,688365
211718421.0,,,15.48,2025-12-16,16.37,15.41,16.22,,,134469,5.91,3.16,,-4.62,-0.75,,688365
213371657.0,,,15.74,2025-12-17,15.81,15.22,15.49,,,137366,3.81,3.23,,1.68,0.26,,688365
190946883.0,,,15.64,2025-12-18,16.0,15.49,15.59,,,121501,3.24,2.85,,-0.64,-0.1,,688365
170915425.0,,,15.55,2025-12-19,15.86,15.43,15.72,,,109822,2.75,2.58,,-0.58,-0.09,,688365
159090973.0,,,15.43,2025-12-22,15.78,15.41,15.55,,,102042,2.38,2.4,,-0.77,-0.12,,688365
147661907.0,,,15.37,2025-12-23,15.54,15.21,15.44,,,96082,2.14,2.26,,-0.39,-0.06,,688365
122023524.0,,,15.53,2025-12-24,15.59,15.24,15.25,,,78995,2.28,1.86,,1.04,0.16,,688365
178467251.0,,,15.64,2025-12-25,15.74,15.4,15.46,,,114553,2.19,2.69,,0.71,0.11,,688365
303453948.0,,,15.68,2025-12-26,16.18,15.35,15.6,,,192489,5.31,4.52,,0.26,0.04,,688365
195795139.0,,,15.61,2025-12-29,15.89,15.41,15.62,,,125192,3.06,2.94,,-0.45,-0.07,,688365
327059283.0,,,15.82,2025-12-30,16.32,15.53,15.56,,,205448,5.06,4.82,,1.35,0.21,,688365
658465963.0,,,16.87,2025-12-31,17.43,15.73,15.83,,,393499,10.75,9.24,,6.64,1.05,,688365
677350116.0,,,17.7,2026-01-05,18.02,16.62,16.77,,,387429,8.3,9.1,,4.92,0.83,,688365
432681092.0,,,17.5,2026-01-06,17.76,17.3,17.7,,,247850,2.6,5.82,,-1.13,-0.2,,688365
433241002.0,,,17.61,2026-01-07,17.91,17.22,17.35,,,247506,3.94,5.81,,0.63,0.11,,688365
530308015.0,,,18.23,2026-01-08,18.41,17.35,17.58,,,295012,6.02,6.93,,3.52,0.62,,688365
772579283.0,,,20.4,2026-01-09,20.5,17.86,17.98,,,396671,14.48,9.32,,11.9,2.17,,688365
903046771.0,,,24.48,2026-01-12,24.48,21.3,21.5,,,386844,15.59,9.08,,20.0,4.08,,688365
2216738192.0,,,28.5,2026-01-13,29.38,25.31,26.93,,,781569,16.63,18.35,,16.42,4.02,,688365
917526492.0,,,34.2,2026-01-14,34.2,30.31,30.58,,,276733,13.65,6.5,,20.0,5.7,,688365
854180256.0,146.28,27.23,37.86,,44.27,28.72,28.82,256.16,78.9,254794,,,2020-04-29,,,688365.0,688365
