date,股票代码,open,close,high,low,volume,money,振幅,涨跌幅,涨跌额,turnover
2020-01-02,300404,8.25,8.07,8.28,7.95,29331,43325719.0,4.04,-1.1,-0.09,2.65
2020-01-03,300404,8.01,7.98,8.16,7.94,25293,37229222.0,2.73,-1.12,-0.09,2.29
2020-01-06,300404,8.01,7.99,8.03,7.87,24826,36200191.0,2.01,0.13,0.01,2.25
2020-01-07,300404,7.99,8.37,8.43,7.92,48189,72081769.0,6.38,4.76,0.38,4.36
2020-01-08,300404,8.44,8.24,8.6,8.18,39662,61039612.0,5.02,-1.55,-0.13,3.59
2020-01-09,300404,8.33,8.85,8.93,8.26,54458,87181378.0,8.13,7.4,0.61,4.93
2020-01-10,300404,8.85,9.02,9.12,8.77,45161,73784356.0,3.95,1.92,0.17,4.08
2020-01-13,300404,9.11,9.37,9.42,9.01,50049,85078299.0,4.55,3.88,0.35,4.53
2020-01-14,300404,9.42,9.98,10.03,9.33,69130,122957345.0,7.47,6.51,0.61,6.25
2020-01-15,300404,9.98,9.82,10.32,9.57,68828,123789911.0,7.52,-1.6,-0.16,6.23
2020-01-16,300404,9.82,9.94,10.0,9.59,52624,94344620.0,4.18,1.22,0.12,4.76
2020-01-17,300404,9.99,9.67,9.99,9.61,36567,64827961.0,3.82,-2.72,-0.27,3.31
2020-01-20,300404,9.67,9.66,9.81,9.56,26579,46975133.0,2.59,-0.1,-0.01,2.4
2020-01-21,300404,9.76,9.61,9.99,9.59,23341,41523400.0,4.14,-0.52,-0.05,2.11
2020-01-22,300404,9.64,9.56,9.77,9.42,18028,31661432.0,3.64,-0.52,-0.05,1.63
2020-01-23,300404,9.7,9.37,9.77,9.32,19902,34645716.0,4.71,-1.99,-0.19,1.8
2020-02-03,300404,9.07,8.44,9.07,8.43,40400,63322645.0,6.83,-9.93,-0.93,3.65
2020-02-04,300404,8.56,9.29,9.29,8.56,8980,14972752.0,8.65,10.07,0.85,0.81
2020-02-05,300404,10.22,10.22,10.22,10.22,10151,18982594.0,0.0,10.01,0.93,0.92
2020-02-06,300404,10.61,11.25,11.25,9.98,123060,236295360.0,12.43,10.08,1.03,11.13
2020-02-07,300404,11.29,11.26,12.37,10.83,173602,362884832.0,13.69,0.09,0.01,15.7
2020-02-10,300404,11.04,10.89,11.76,10.61,89909,178672322.0,10.21,-3.29,-0.37,8.13
2020-02-11,300404,10.95,10.75,10.95,10.6,39186,76532461.0,3.21,-1.29,-0.14,3.54
2020-02-12,300404,10.77,10.84,10.92,10.66,35599,70239139.0,2.42,0.84,0.09,3.22
2020-02-13,300404,11.12,11.09,11.43,10.91,39802,81031392.0,4.8,2.31,0.25,3.6
2020-02-14,300404,11.16,10.92,11.16,10.85,28297,56434838.0,2.8,-1.53,-0.17,2.56
2020-02-17,300404,10.68,10.9,11.2,10.68,29224,58417361.0,4.76,-0.18,-0.02,2.64
2020-02-18,300404,11.02,11.11,11.21,10.82,34659,69543202.0,3.58,1.93,0.21,3.14
2020-02-19,300404,11.06,10.77,11.07,10.73,27489,54525704.0,3.06,-3.06,-0.34,2.49
2020-02-20,300404,10.8,10.62,10.8,10.59,24190,47196089.0,1.95,-1.39,-0.15,2.19
2020-02-21,300404,10.62,10.69,10.91,10.53,39094,76466713.0,3.58,0.66,0.07,3.54
2020-02-24,300404,10.88,11.26,11.35,10.8,54651,109811353.0,5.14,5.33,0.57,4.94
2020-02-25,300404,11.32,11.68,12.04,11.1,73077,152905462.0,8.35,3.73,0.42,6.61
2020-02-26,300404,11.76,11.49,11.95,11.37,43238,90793673.0,4.97,-1.63,-0.19,3.91
2020-02-27,300404,11.66,11.38,11.66,11.25,39947,83307543.0,3.57,-0.96,-0.11,3.61
2020-02-28,300404,11.27,11.14,11.65,11.06,58950,120414207.0,5.18,-2.11,-0.24,5.33
2020-03-02,300404,11.27,11.34,11.43,11.06,23192,47541921.0,3.32,1.8,0.2,2.1
2020-03-03,300404,11.56,11.37,11.65,11.27,22010,46017571.0,3.35,0.26,0.03,1.99
2020-03-04,300404,11.32,11.2,11.45,11.13,18074,37077064.0,2.81,-1.5,-0.17,1.63
2020-03-05,300404,11.27,11.02,11.43,10.75,29897,59619867.0,6.07,-1.61,-0.18,2.7
